"","gene_name","gene_id","pct.1","pct.2","avg_logFC","p_val","FDR","seqnames"
"23","nhr-67","WBGene00003657",0.357,0.021,0.638750146745199,0,0,"C08F8.8"
"24","C06C3.3","WBGene00007374",0.324,0.004,0.628899874764333,0,0,"C06C3.3"
"25","R11G1.1","WBGene00020010",0.299,0.005,0.586202722966842,0,0,"R11G1.1"
"26","arrd-23","WBGene00020323",0.291,0.001,0.582476353312492,0,0,"T07F12.3"
"27","C40H1.8","WBGene00008043",0.248,0.002,0.50678085717225,0,0,"C40H1.8"
"28","twk-3","WBGene00006658",0.251,0.007,0.500084822493035,0,0,"M110.2"
"29","tsp-8","WBGene00006634",0.274,0.024,0.497720644934051,0,0,"F33C8.3"
"30","Y97E10AL.1","WBGene00022392",0.247,0.007,0.492618133367528,0,0,"Y97E10AL.1"
"31","C09D4.1","WBGene00015632",0.257,0.021,0.475892878340463,0,0,"C09D4.1"
"32","F35D11.1","WBGene00018043",0.218,0.012,0.43057822513237,0,0,"F35D11.1"
"33","ZK757.10","WBGene00206488",0.205,0.006,0.420211582137811,0,0,"ZK757.10"
"34","ceh-43","WBGene00000463",0.2,0.01,0.401620562205863,0,0,"C28A5.4"
"35","aqp-6","WBGene00000174",0.182,0.009,0.371021127523413,0,0,"C32C4.2"
"36","ace-1","WBGene00000035",0.175,0.007,0.3620820404871,0,0,"W09B12.1"
"37","scl-10","WBGene00009891",0.145,0.001,0.319444567502791,0,0,"F49E11.5"
"38","C29F7.1","WBGene00007810",0.145,0.001,0.317699356517157,0,0,"C29F7.1"
"39","F56F3.7","WBGene00194748",0.175,0.01,0.354296883072361,1.40508601283776e-306,6.7735954172725e-304,"F56F3.7"
"40","cest-24","WBGene00020891",0.208,0.015,0.404057247592922,1.68721329905461e-302,7.93032430888143e-300,"T28C12.4"
"41","amt-2","WBGene00000134",0.241,0.021,0.447528699490633,2.29619911562883e-287,1.05294730665702e-284,"F49E11.3"
"42","nlp-55","WBGene00008820",0.734,0.188,0.77406922569814,2.03164947678302e-282,9.09453376499942e-280,"F14F11.2"
"43","T08G11.3","WBGene00011630",0.206,0.016,0.398737991298864,1.12410123485856e-279,4.91493658525016e-277,"T08G11.3"
"44","F53A2.1","WBGene00009949",0.309,0.037,0.527316073541487,8.75350248555248e-276,3.74033182342891e-273,"F53A2.1"
"45","F45H10.5","WBGene00009742",0.187,0.013,0.368916121789558,2.33254256611943e-270,9.74536284124698e-268,"F45H10.5"
"46","acc-2","WBGene00008280",0.217,0.019,0.410972528754704,2.47970320451771e-262,1.01349782495951e-259,"C53D6.3"
"47","gap-3","WBGene00021238",0.141,0.008,0.293351644403232,1.62733674303237e-261,6.5096932139897e-259,"Y20F4.3"
"48","acr-24","WBGene00013534",0.306,0.039,0.517664693236449,1.72722337612979e-254,6.76531806137837e-252,"Y73F8A.30"
"49","F58F12.4","WBGene00044756",0.139,0.008,0.289788632908388,1.07724069158185e-249,4.13330658008784e-247,"F58F12.4"
"50","lron-10","WBGene00012646",0.341,0.05,0.54722184708375,4.02058194726214e-242,1.51181922380951e-239,"Y39A1A.7"
"51","dop-2","WBGene00001053",0.419,0.074,0.609331142618288,3.6627186458013e-239,1.35025045607275e-236,"K09G1.4"
"52","atat-2","WBGene00021059",0.268,0.031,0.469864334734553,4.49880457976481e-238,1.62657740200304e-235,"W06B11.1"
"53","M110.8","WBGene00010916",0.138,0.008,0.286155790308184,2.09535849221008e-237,7.43298773812109e-235,"M110.8"
"54","lag-2","WBGene00002246",0.132,0.007,0.275841960612696,2.76436672183134e-236,9.62460346984279e-234,"Y73C8B.4"
"55","tbb-4","WBGene00006538",0.23,0.024,0.422641606498276,5.6543879142408e-231,1.93287540319348e-228,"B0272.1"
"56","cil-7","WBGene00021017",0.241,0.026,0.435957368148406,2.00043555237144e-224,6.71610514645275e-222,"W03G9.7"
"57","txdc-12.2","WBGene00018656",0.123,0.007,0.259128175268901,2.79056370693528e-224,9.20445407966495e-222,"F49H12.5"
"58","viln-1","WBGene00015691",0.274,0.036,0.469638469949405,3.58791807564601e-217,1.1630422024176e-214,"C10H11.1"
"59","lntl-1","WBGene00016289",0.755,0.259,0.66813912335514,4.63030663280325e-217,1.47549822039549e-214,"C31H1.6"
"60","M60.4","WBGene00019780",0.36,0.061,0.550917858770101,2.84908669171962e-215,8.92761314850341e-213,"M60.4"
"61","shw-1","WBGene00008819",0.457,0.099,0.610848699061521,1.70261619109784e-203,5.24768639489024e-201,"F14F11.1"
"62","K04C2.3","WBGene00019381",0.368,0.067,0.549368663068548,6.27580402846109e-201,1.90308696030802e-198,"K04C2.3"
"63","tsp-14","WBGene00006640",0.206,0.023,0.380826435540901,5.2070164265507e-189,1.55392247358063e-186,"F39C12.3"
"64","sms-3","WBGene00004894",0.271,0.04,0.455347717566686,8.90524389248994e-188,2.61605453785474e-185,"Y22D7AL.8"
"65","AH9.6","WBGene00044701",0.438,0.104,0.572426066156258,1.07049437436882e-182,3.09636380500126e-180,"AH9.6"
"66","qdpr-1","WBGene00011398",0.17,0.017,0.32996353045527,8.94499473129866e-182,2.54810372641131e-179,"T03F6.1"
"67","nlp-10","WBGene00003748",0.617,0.185,0.644488841763388,7.94030965221898e-169,2.22814569808014e-166,"F37A8.4"
"68","cca-1","WBGene00000367",0.59,0.186,0.610281821971309,3.29058178016678e-168,9.09797471307582e-166,"C54D2.5"
"69","mca-2","WBGene00019875",0.404,0.09,0.551698280115529,6.5186876434126e-168,1.77620067222899e-165,"R05C11.3"
"70","msa-1","WBGene00013882",0.885,0.357,0.643596076251894,4.42118335487319e-165,1.18746668935673e-162,"ZC410.5"
"71","F47G4.5","WBGene00009826",0.123,0.01,0.25204135642236,1.8396610055504e-161,4.87147416413423e-159,"F47G4.5"
"72","ZK652.8","WBGene00022786",0.241,0.036,0.411931155093143,1.82261272041969e-159,4.7592974661959e-157,"ZK652.8"
"73","die-1","WBGene00000995",0.239,0.037,0.408210830556331,4.18363699657069e-155,1.0774871119524e-152,"C18D1.1"
"74","glb-20","WBGene00010970",0.263,0.044,0.432439305870826,4.44379612805252e-154,1.12902447302048e-151,"R01E6.6"
"75","amt-3","WBGene00000135",0.29,0.053,0.457995446929942,1.65102871209465e-153,4.13879877547887e-151,"M195.3"
"76","acr-20","WBGene00000059",0.184,0.022,0.341561813790336,2.2132695785263e-153,5.47522122972012e-151,"R06A4.10"
"77","sams-4","WBGene00015540",0.163,0.02,0.308214375475127,7.10723725230973e-139,1.73536581273604e-136,"C06E7.3"
"78","zfh-2","WBGene00022518",0.478,0.14,0.555415538636204,9.85922110942466e-137,2.37645148818324e-134,"ZC123.3"
"79","gly-5","WBGene00001630",0.245,0.043,0.404558905234195,1.99369727455969e-136,4.74474714670843e-134,"Y39E4B.12"
"80","flp-4","WBGene00001447",0.436,0.113,0.550993430405774,8.82784545569512e-134,2.07465403015655e-131,"C18D1.3"
"81","syx-16","WBGene00022534",0.152,0.018,0.291254544203983,1.46153541064742e-131,3.39238608093607e-129,"ZC155.7"
"82","F13H10.6","WBGene00008777",0.206,0.032,0.360063701815079,3.76824955824311e-130,8.63986096884497e-128,"F13H10.6"
"83","ptp-1","WBGene00004213",0.286,0.059,0.436263440239664,2.330208898191e-129,5.27834427649266e-127,"C48D5.2"
"84","cpna-4","WBGene00006441",0.257,0.049,0.411703635244191,2.77206180125828e-126,6.20446832445915e-124,"Y73F8A.19"
"85","vab-3","WBGene00006870",0.244,0.046,0.395691703734042,1.22237805873279e-122,2.70375645673355e-120,"F14F3.1"
"86","irk-3","WBGene00002151",0.405,0.117,0.497342788056589,5.52194174254649e-121,1.20718635699554e-118,"K04G11.5"
"87","F23C8.13","WBGene00017741",0.227,0.042,0.375100254617259,1.33178720523973e-116,2.87803807421979e-114,"F23C8.13"
"88","R10E12.2","WBGene00011221",0.242,0.048,0.386727242629618,1.21144707840631e-113,2.58822915012694e-111,"R10E12.2"
"89","pqn-83","WBGene00004164",0.155,0.021,0.289538681526408,2.64655326853814e-113,5.59076943840288e-111,"Y39E4B.3"
"90","zyx-1","WBGene00006999",0.572,0.222,0.521875599660528,5.46201882562869e-113,1.14101573267383e-110,"F42G4.3"
"91","tni-1","WBGene00006584",0.286,0.066,0.420888612754064,1.31469382707192e-109,2.71621523547025e-107,"F42E11.4"
"92","K09F5.6","WBGene00044698",0.329,0.088,0.442469901296328,3.5683315300546e-105,7.29219577136484e-103,"K09F5.6"
"93","alr-1","WBGene00044330",0.178,0.029,0.313765478353172,1.49754141008699e-104,3.02744903774683e-102,"R08B4.2"
"94","gar-3","WBGene00001519",0.284,0.067,0.416424817589842,1.6220306371132e-104,3.24423383067715e-102,"Y40H4A.1"
"95","dyf-6","WBGene00001122",0.167,0.027,0.30037116182842,4.77317103206039e-103,9.44635669197552e-101,"F46F6.4"
"96","smd-1","WBGene00004875",0.166,0.026,0.297924111134148,1.09709175602805e-101,2.14858563594618e-99,"F47G4.7"
"97","T14B4.8","WBGene00020502",0.245,0.054,0.379215628555853,2.42566337475712e-100,4.70153578441326e-98,"T14B4.8"
"98","nlp-36","WBGene00007185",0.133,0.018,0.252632262532919,1.03158821779463e-97,1.97907041660784e-95,"B0464.3"
"99","T13H5.1","WBGene00011755",0.317,0.086,0.427682229996016,7.01597273780374e-97,1.33239700447927e-94,"T13H5.1"
"100","flp-22","WBGene00009562",0.575,0.211,0.544948999441785,1.15936261697692e-95,2.17971765617831e-93,"F39H2.1"
"101","lgc-53","WBGene00020657",0.244,0.055,0.373823969183324,2.34840698517716e-95,4.37152472557582e-93,"T21F2.1"
"102","ccg-1","WBGene00000370",0.193,0.038,0.322220111737584,1.00920203781508e-90,1.8601968149962e-88,"Y73F8A.6"
"103","dyf-5","WBGene00001121",0.16,0.027,0.284301656436884,2.84778755929151e-90,5.1981799905087e-88,"M04C9.5"
"104","prp-6","WBGene00013343",0.247,0.059,0.369960159683919,3.10760512483234e-90,5.6178926876897e-88,"Y59A8B.6"
"105","T12B3.1","WBGene00020444",0.157,0.027,0.280209402924747,1.24350331866338e-89,2.2265815137324e-87,"T12B3.1"
"106","mgl-1","WBGene00003232",0.251,0.061,0.372877455124815,1.78392962520475e-85,3.16411895127117e-83,"ZC506.4"
"107","fbxc-41","WBGene00016304",0.19,0.039,0.314273496928155,4.13718588036108e-85,7.26946090996903e-83,"C32B5.11"
"108","osta-3","WBGene00012182",0.173,0.033,0.296745570891054,8.79514100368111e-85,1.53108746305749e-82,"W01D2.5"
"109","gar-1","WBGene00001517",0.256,0.066,0.37139819501251,1.77693451329563e-83,3.06496750316249e-81,"C15B12.5"
"110","dyf-18","WBGene00010349",0.185,0.038,0.308600978234127,4.98891693095779e-83,8.52696611081249e-81,"H01G02.2"
"111","iglr-3","WBGene00021353",0.236,0.058,0.354803217449135,2.27734091869445e-82,3.85732311823192e-80,"Y37E3.13"
"112","nhr-88","WBGene00003678",0.436,0.173,0.431320745238534,1.25643619437028e-77,2.10913007949603e-75,"K08A2.5"
"113","kvs-5","WBGene00021948",0.238,0.06,0.352263211073444,1.4851263727235e-77,2.47096114456412e-75,"Y55F3C.3"
"114","cdap-2","WBGene00021549",0.158,0.031,0.272943624449602,8.03741608705796e-76,1.32553912151559e-73,"Y44E3A.4"
"115","C44B11.4","WBGene00016634",0.339,0.113,0.406562317321487,1.10990281415322e-72,1.81454633120823e-70,"C44B11.4"
"116","DH11.5","WBGene00008438",0.659,0.364,0.391831429151462,2.5163987968098e-72,4.0785184292087e-70,"DH11.5"
"117","unc-103","WBGene00006830",0.498,0.226,0.417606368809905,2.98719038392579e-69,4.80018516309306e-67,"C30D11.1"
"118","C06E7.2","WBGene00015539",0.399,0.147,0.428884670015097,3.50595175788787e-69,5.58605076271609e-67,"C06E7.2"
"119","set-11","WBGene00018023",0.173,0.04,0.28005366391581,4.12861292675157e-65,6.52286148200472e-63,"F34D6.4"
"120","R10E11.5","WBGene00011217",0.221,0.061,0.320213794781106,1.55436804349892e-63,2.43530613215193e-61,"R10E11.5"
"121","bris-1","WBGene00019726",0.217,0.062,0.310848665490149,1.78716301526207e-60,2.77689684710265e-58,"M02B7.5"
"122","F02D8.4","WBGene00008521",0.155,0.035,0.256752684504448,3.12901309133311e-59,4.82201435493065e-57,"F02D8.4"
"123","bam-2","WBGene00000237",0.176,0.044,0.276033478141461,8.91448789066987e-59,1.36261208806898e-56,"Y71F9AR.1"
"124","nog-1","WBGene00020297",0.303,0.11,0.355237267180665,4.23676529140662e-58,6.42382453578515e-56,"T07A9.9"
"125","C04E6.7","WBGene00015423",0.197,0.054,0.292445092466157,2.81743451778339e-57,4.23764690950764e-55,"C04E6.7"
"126","F36G3.3","WBGene00009484",0.25,0.082,0.325312800893383,2.85606962620659e-55,4.26166389224683e-53,"F36G3.3"
"127","Y43F8A.1","WBGene00012808",0.167,0.041,0.266228452076003,1.33957229820473e-54,1.98309439201159e-52,"Y43F8A.1"
"128","efn-2","WBGene00001163",0.172,0.045,0.265673538700629,1.18249635614849e-53,1.73688390562092e-51,"C43F9.8"
"129","nlp-21","WBGene00003759",0.01,0.278,-0.537876204667603,5.56841069158065e-52,8.11563483817115e-50,"Y47D3B.2"
"130","C01G5.25","WBGene00235291",0.442,0.21,0.371178968705023,1.25845794370128e-50,1.82002059996367e-48,"C01G5.25"
"131","mig-10","WBGene00003243",0.239,0.081,0.308238036544145,1.6254986564501e-49,2.33290078167316e-47,"F10E9.6"
"132","egl-2","WBGene00001171",0.22,0.071,0.295786162954649,5.55193858540902e-49,7.90772707153599e-47,"F16B3.1"
"133","T10B5.4","WBGene00020390",0.405,0.187,0.360345417663151,1.15263256174452e-48,1.62937178897434e-46,"T10B5.4"
"134","nlp-9","WBGene00003747",0.031,0.287,-0.503306736423878,3.6630220328405e-47,5.13943859995778e-45,"E03D2.2"
"135","syd-1","WBGene00006363",0.211,0.068,0.285510625598067,5.2500449947523e-47,7.31156266269171e-45,"F35D2.5"
"136","gem-1","WBGene00008214",0.187,0.056,0.268154451875782,2.43820208869995e-46,3.37063510806233e-44,"C49F8.2"
"137","egl-18","WBGene00001186",0.182,0.054,0.265036595791596,2.93820858408388e-46,4.03220872915043e-44,"F55A8.1"
"138","pdf-1","WBGene00020317",0.01,0.243,-0.477491055202636,8.48868828629242e-44,1.1564915106564e-41,"T07E3.6"
"139","cal-2","WBGene00000286",0.221,0.077,0.285664968101498,3.4763653436183e-43,4.70209675002645e-41,"C18E9.1"
"140","C06A1.2","WBGene00007353",0.19,0.061,0.262524489973033,4.23301516327404e-43,5.68463700605109e-41,"C06A1.2"
"141","C08G9.1","WBGene00015619",0.299,0.127,0.313486572447112,1.24269819817733e-40,1.6570190655271e-38,"C08G9.1"
"142","exc-7","WBGene00001368",0.272,0.11,0.303978288387188,3.00013134780159e-40,3.97221615986041e-38,"F35H8.5"
"143","K07C11.7","WBGene00019479",0.051,0.281,-0.446866800730676,8.74164472709742e-40,1.14931232527384e-37,"K07C11.7"
"144","nlp-13","WBGene00003751",0.018,0.232,-0.439859395970022,1.02547671101761e-38,1.33888803082237e-36,"E03D2.1"
"145","kcnl-2","WBGene00008570",0.332,0.152,0.315343445119165,1.70452103994048e-38,2.21011724633938e-36,"F08A10.1"
"146","nlp-11","WBGene00003749",0.064,0.285,-0.423446426959505,9.50733967124079e-38,1.2242978983493e-35,"ZK1320.10"
"147","Y41C4A.17","WBGene00012760",0.614,0.368,0.332819740902193,1.70352213079403e-36,2.17877003952779e-34,"Y41C4A.17"
"148","T19C3.3","WBGene00020561",0.248,0.099,0.285617173114764,1.78391937220889e-36,2.26618027816888e-34,"T19C3.3"
"149","kcnl-1","WBGene00007176",0.028,0.237,-0.42474238918587,2.80959963563446e-36,3.54518676171567e-34,"B0399.1"
"150","K07D4.9","WBGene00019488",0.429,0.211,0.34973116262754,1.60965568160121e-35,2.01754243131896e-33,"K07D4.9"
"151","F09C3.2","WBGene00008610",0.019,0.22,-0.415516206740918,2.88435217832045e-35,3.59130498705979e-33,"F09C3.2"
"152","eef-1A.1","WBGene00001168",0.472,0.284,0.283137793503765,1.33628422895509e-34,1.65286051240688e-32,"F31E3.5"
"153","tbb-2","WBGene00006537",0.456,0.259,0.30412406307732,1.77258499968143e-34,2.17819415549088e-32,"C36E8.5"
"154","nlp-80","WBGene00011428",0.387,0.18,0.347030840923374,6.39941515352888e-33,7.81268859100626e-31,"T04C12.3"
"155","E01G4.3","WBGene00008446",0.223,0.088,0.264190632451341,7.41389687679051e-33,8.99281775358312e-31,"E01G4.3"
"156","Y62E10A.13","WBGene00013379",0.23,0.096,0.260089093063193,8.74452959460988e-32,1.05388398018116e-29,"Y62E10A.13"
"157","T10B10.4","WBGene00011681",0.354,0.183,0.291402828646755,3.18132334983547e-31,3.8096853694431e-29,"T10B10.4"
"158","M01H9.3","WBGene00019719",0.54,0.341,0.281076706282188,1.15779853792897e-30,1.377706981747e-28,"M01H9.3"
"159","tsp-7","WBGene00006633",0.01,0.18,-0.362433666513841,5.49633795483374e-30,6.49916037036661e-28,"T23D8.2"
"160","lec-2","WBGene00002265",0.363,0.194,0.283743976323384,1.12719150852828e-29,1.32452047199002e-27,"F52H3.7"
"161","F38B7.3","WBGene00009534",0.235,0.102,0.255145537375707,2.49656282335337e-29,2.91539612682401e-27,"F38B7.3"
"162","H10D18.5","WBGene00019180",0.311,0.155,0.277771117034217,4.51450400400941e-29,5.23933270243092e-27,"H10D18.5"
"163","flp-18","WBGene00001461",0.057,0.237,-0.359175290349621,8.6940447839188e-29,1.00280206124207e-26,"Y48D7A.2"
"164","rskn-1","WBGene00011352",0.1,0.288,-0.351491014136419,1.00749008072707e-27,1.15498908583839e-25,"T01H8.1"
"165","arrd-17","WBGene00011732",0.335,0.181,0.264299634973057,1.76133353552261e-27,2.00695950311277e-25,"T12D8.4"
"166","unc-17","WBGene00006756",0.021,0.185,-0.346495801227104,2.74632162655188e-27,3.11045740366276e-25,"ZC416.8"
"167","nlp-15","WBGene00003753",0.097,0.275,-0.335840966721728,5.35512288192465e-27,6.02884223371649e-25,"CC4.2"
"168","hsp-90","WBGene00000915",0.468,0.293,0.262235181158309,1.76160636470171e-26,1.97142626564029e-24,"C47E8.5"
"169","nlp-50","WBGene00018298",0.051,0.215,-0.333634994425212,3.21479339661022e-26,3.57641009761353e-24,"F41G3.1"
"170","gopc-1","WBGene00014101",0.019,0.177,-0.335751932185968,4.07770616334755e-26,4.50970315159395e-24,"ZK849.2"
"171","tag-180","WBGene00007041",0.006,0.154,-0.324847797840484,4.31176265627523e-26,4.74066957313629e-24,"T24F1.6"
"172","ddx-17","WBGene00010260",0.35,0.197,0.259137467806404,8.15213883707713e-26,8.91095129510971e-24,"F58E10.3"
"173","klp-4","WBGene00002217",0.025,0.182,-0.33097994153473,1.64311189466836e-25,1.78567322148323e-23,"F56E3.3"
"174","E02A10.3","WBGene00008453",0.317,0.164,0.268644498666177,1.72361923695036e-25,1.86240030309791e-23,"E02A10.3"
"175","rbf-1","WBGene00004316",0.09,0.268,-0.340109362762432,2.10468291704706e-25,2.2611510584801e-23,"F37A4.7"
"176","drn-1","WBGene00016911",0.365,0.205,0.265880382006546,3.0825319302961e-25,3.29287970576687e-23,"C54A12.4"
"177","plc-1","WBGene00004036",0.043,0.205,-0.332038148466101,4.24807116483935e-25,4.5123155915336e-23,"F31B12.1"
"178","linc-7","WBGene00219609",0.003,0.141,-0.305608874018488,1.93274229343777e-24,2.04143190218672e-22,"T22E6.2"
"179","Y105C5A.15","WBGene00013639",0.326,0.181,0.250758877326324,3.73391835701629e-24,3.92186586761247e-22,"Y105C5A.15"
"180","F17C11.2","WBGene00008914",0.018,0.158,-0.302283204471355,2.40914548708036e-23,2.51635246125544e-21,"F17C11.2"
"181","madd-4","WBGene00009958",0.04,0.191,-0.312576563518659,3.33048826376056e-23,3.45947568215262e-21,"F53B6.2"
"182","ZK353.10","WBGene00044677",0.028,0.172,-0.305632577419475,5.32414454147593e-23,5.49995832551038e-21,"ZK353.10"
"183","nlp-1","WBGene00003739",0.021,0.16,-0.300094713453441,1.12417380881802e-22,1.15495037046927e-20,"C01C4.1"
"184","shk-1","WBGene00014261",0.013,0.149,-0.295427303123928,1.44166673184818e-22,1.47308566442813e-20,"ZK1321.2"
"185","Y48C3A.5","WBGene00012989",0.003,0.131,-0.285509021879103,1.78911994546914e-22,1.81822941052785e-20,"Y48C3A.5"
"186","spv-1","WBGene00014051",0.019,0.155,-0.293488267065341,3.40397891369446e-22,3.44076384711664e-20,"ZK669.1"
"187","nlp-41","WBGene00007316",0.019,0.154,-0.290417864284915,5.1793999278979e-22,5.20737422697372e-20,"C04H5.8"
"188","akap-1","WBGene00016977",0.278,0.449,-0.261020980281171,7.28785785371905e-22,7.28824550573255e-20,"C56G2.1"
"189","mec-12","WBGene00003175",0.468,0.28,0.284793811198254,7.3492658788688e-22,7.3107697242652e-20,"C44B11.3"
"190","twk-49","WBGene00019904",0.021,0.155,-0.289753611371329,8.75122416300687e-22,8.65956660466801e-20,"R05G9.2"
"191","glr-5","WBGene00001616",0.024,0.157,-0.287007602624099,2.7865310238066e-21,2.74290941249151e-19,"ZC196.7"
"192","odr-2","WBGene00003849",0.03,0.165,-0.287596861549208,5.5315943806228e-21,5.41664093490048e-19,"T01C4.2"
"193","Y43B11AR.1","WBGene00021543",0.006,0.127,-0.270152645028468,7.48420535966622e-21,7.29070181176604e-19,"Y43B11AR.1"
"194","nlp-8","WBGene00003746",0.036,0.169,-0.28146666006264,1.72198601073169e-20,1.66881747359621e-18,"D2005.2"
"195","cle-1","WBGene00000527",0.04,0.175,-0.281781009814554,4.50982617025951e-20,4.34816624754098e-18,"C36B1.1"
"196","rig-6","WBGene00016354",0.015,0.134,-0.26206308104498,1.74432535003021e-19,1.67321739315908e-17,"C33F10.5"
"197","C56G2.15","WBGene00016983",0.12,0.276,-0.29051785249923,2.41584514925706e-19,2.30559922087218e-17,"C56G2.15"
"198","pde-3","WBGene00008443",0.019,0.14,-0.26441735238071,2.74928321727009e-19,2.61056938221692e-17,"E01F3.1"
"199","cho-1","WBGene00000501",0.031,0.157,-0.268402728494902,3.63109590012715e-19,3.43056452353219e-17,"C48D1.3"
"200","nkb-3","WBGene00010117",0.064,0.205,-0.284978791179543,4.11985977693727e-19,3.87287418330988e-17,"F55F3.3"
"201","ins-17","WBGene00002100",0.046,0.174,-0.266292230003935,1.15770247235047e-18,1.08288379018215e-16,"F56F3.6"
"202","pkc-2","WBGene00004033",0.021,0.138,-0.256395679495562,2.5463633941171e-18,2.37000882043542e-16,"E01H11.1"
"203","glb-18","WBGene00009917",0.061,0.197,-0.2757411040599,3.02588423826478e-18,2.80244579131114e-16,"F52A8.4"
"204","F54G2.1","WBGene00018837",0.167,0.322,-0.26989793700019,3.30047090571249e-18,3.04177223030885e-16,"F54G2.1"
"205","F58H1.7","WBGene00010290",0.031,0.151,-0.257344129209228,5.64400641004286e-18,5.17624217147394e-16,"F58H1.7"
"206","scd-2","WBGene00004740",0.022,0.137,-0.251148036134368,6.41090799001211e-18,5.8510427728261e-16,"T10H9.2"
"207","B0252.8","WBGene00044615",0.057,0.183,-0.260599444996942,1.20074705821724e-17,1.09059156722427e-15,"B0252.8"
"208","C24B5.1","WBGene00016044",0.033,0.15,-0.251415034557413,1.72680492267452e-17,1.5608490072694e-15,"C24B5.1"
"209","unc-68","WBGene00006801",0.076,0.207,-0.260774707270341,3.87455327900215e-17,3.48542948318275e-15,"K11C4.5"
"210","T01G1.2","WBGene00011337",0.051,0.174,-0.25722839891631,4.82991639773893e-17,4.32415515208998e-15,"T01G1.2"
